gi|1000108|gb|AAA92500|	 melatonin receptor [Xenopus laevis]
gi|1136599|gb|AAA84422|	 glyceraldehyde 3-phosphate dehydrogenase [Xenopus laevis]
gi|113696|sp|P12890|	 RecName: Full=Peptidyl-glycine alpha-amidating monooxygenase B; Short=PAM-B; AltName: Full=Peptide C-terminal alpha-amidating enzyme II; Short=AE-II; AltName: Full=Peptidyl-glycine alpha-amidating monooxygenase II; Includes: RecName: Full=Peptidylglycine alpha-hydroxylating monooxygenase B; Short=PHM-B; Includes: RecName: Full=Peptidyl-alpha-hydroxyglycine alpha-amidating lyase B; AltName: Full=Peptidylamidoglycolate lyase-B; Short=PAL-B; Flags: Precursor
gi|113817009|gb|AAH46729|	 Nt5c3l-b protein [Xenopus laevis]
gi|113817341|gb|AAH43962|	 Uba2-b protein [Xenopus laevis]
gi|113817461|gb|AAH45274|	 MGC68804 protein [Xenopus laevis]
gi|113819347|gb|AAH60478|	 MGC68662 protein [Xenopus laevis]
gi|113825|sp|P24346|	 RecName: Full=Putative ATP-dependent RNA helicase an3
gi|11385422|gb|AAG34794|	 Atr protein [Xenopus laevis]
gi|11385666|gb|AAG34914|	 microtubule associated protein XMAP215 isoform M [Xenopus laevis]
gi|11385668|gb|AAG34915|	 microtubule associated protein XMAP215 isoform Z [Xenopus laevis]
gi|113953|sp|P24801|	 RecName: Full=Annexin A2-B; AltName: Full=Annexin II type II; AltName: Full=Annexin-2-B; AltName: Full=Calpactin I heavy chain; AltName: Full=Calpactin-1 heavy chain; AltName: Full=Lipocortin II
gi|113971|sp|P27006|	 RecName: Full=Annexin A2-A; AltName: Full=Annexin II type I; AltName: Full=Annexin-2-A; AltName: Full=Calpactin I heavy chain; AltName: Full=Calpactin-1 heavy chain; AltName: Full=Lipocortin II
gi|114107760|gb|AAI23108|	 Unknown (protein for IMAGE:7207269) [Xenopus laevis]
gi|114107762|gb|AAI23140|	 Trap25 protein [Xenopus laevis]
gi|114107764|gb|AAI23143|	 Xtipin protein [Xenopus laevis]
gi|114107766|gb|AAI23144|	 MGC154331 protein [Xenopus laevis]
gi|114107768|gb|AAI23161|	 MGC154358 protein [Xenopus laevis]
gi|114107770|gb|AAI23162|	 Mapkapk3 protein [Xenopus laevis]
gi|114107772|gb|AAI23173|	 MGC154389 protein [Xenopus laevis]
gi|114107774|gb|AAI23175|	 Arl11 protein [Xenopus laevis]
gi|114107776|gb|AAI23194|	 Fstl3 protein [Xenopus laevis]
gi|114107778|gb|AAI23213|	 Sult5a1 protein [Xenopus laevis]
gi|114107780|gb|AAI23274|	 LOC779077 protein [Xenopus laevis]
gi|114107782|gb|AAI23275|	 Rabl4 protein [Xenopus laevis]
gi|114107784|gb|AAI23287|	 LOC733425 protein [Xenopus laevis]
gi|114107786|gb|AAI23288|	 LSM11 protein [Xenopus laevis]
gi|114107788|gb|AAI23324|	 Surf6 protein [Xenopus laevis]
gi|114107790|gb|AAI23346|	 MGC154824 protein [Xenopus laevis]
gi|114107792|gb|AAI23379|	 LOC443580 protein [Xenopus laevis]
gi|114107794|gb|AAI23153|	 LOC100125663 protein [Xenopus laevis]
gi|114107796|gb|AAI23204|	 MGC154438 protein [Xenopus laevis]
gi|114107798|gb|AAI23109|	 Gtlf3b protein [Xenopus laevis]
gi|114107800|gb|AAI23120|	 Paip1-pending protein [Xenopus laevis]
gi|114107802|gb|AAI23122|	 Psmb1 protein [Xenopus laevis]
gi|114107804|gb|AAI23124|	 Snrpn protein [Xenopus laevis]
gi|114107806|gb|AAI23125|	 MGC154308 protein [Xenopus laevis]
gi|114107808|gb|AAI23128|	 MGC154312 protein [Xenopus laevis]
gi|114107810|gb|AAI23131|	 MGC154316 protein [Xenopus laevis]
gi|114107812|gb|AAI23132|	 MGC154317 protein [Xenopus laevis]
gi|114107814|gb|AAI23135|	 Tmem208 protein [Xenopus laevis]
gi|114107817|gb|AAI23138|	 MGC154325 protein [Xenopus laevis]
gi|114107820|gb|AAI23150|	 Gpr143 protein [Xenopus laevis]
gi|114107822|gb|AAI23152|	 NIF protein [Xenopus laevis]
gi|114107824|gb|AAI23154|	 Rx2A protein [Xenopus laevis]
gi|114107826|gb|AAI23157|	 Nat12 protein [Xenopus laevis]
gi|114107828|gb|AAI23163|	 Stk4 protein [Xenopus laevis]
gi|114107830|gb|AAI23167|	 MGC154374 protein [Xenopus laevis]
gi|114107832|gb|AAI23170|	 MGC154379 protein [Xenopus laevis]
gi|114107834|gb|AAI23178|	 MGC154400 protein [Xenopus laevis]
gi|114107836|gb|AAI23179|	 MGC154401 protein [Xenopus laevis]
gi|114107838|gb|AAI23182|	 Tmem39a protein [Xenopus laevis]
gi|114107840|gb|AAI23185|	 MGC154409 protein [Xenopus laevis]
gi|114107842|gb|AAI23188|	 MGC154414 protein [Xenopus laevis]
gi|114107844|gb|AAI23189|	 Serpine1 protein [Xenopus laevis]
gi|114107846|gb|AAI23192|	 Rdh9 protein [Xenopus laevis]
gi|114107851|gb|AAI23206|	 MGC154442 protein [Xenopus laevis]
gi|114107853|gb|AAI23208|	 Chch-a protein [Xenopus laevis]
gi|114107855|gb|AAI23209|	 MGC154447 protein [Xenopus laevis]
gi|114107857|gb|AAI23211|	 MGC154449 protein [Xenopus laevis]
gi|114107859|gb|AAI23215|	 MGC154455 protein [Xenopus laevis]
gi|114107861|gb|AAI23217|	 MGC154458 protein [Xenopus laevis]
gi|114107863|gb|AAI23218|	 KATNA1 protein [Xenopus laevis]
gi|114107865|gb|AAI23220|	 Nudt9 protein [Xenopus laevis]
gi|114107867|gb|AAI23224|	 Atf4-iii protein [Xenopus laevis]
gi|114107869|gb|AAI23227|	 MGC154468 protein [Xenopus laevis]
gi|114107871|gb|AAI23230|	 Nkx6-2 protein [Xenopus laevis]
gi|114107873|gb|AAI23232|	 MGC154475 protein [Xenopus laevis]
gi|114107875|gb|AAI23234|	 Phf23-b protein [Xenopus laevis]
gi|114107877|gb|AAI23239|	 Twist1-A protein [Xenopus laevis]
gi|114107879|gb|AAI23242|	 Cycb3 protein [Xenopus laevis]
gi|114107881|gb|AAI23244|	 MGC154495 protein [Xenopus laevis]
gi|114107883|gb|AAI23246|	 Rcn1 protein [Xenopus laevis]
gi|114107885|gb|AAI23247|	 MGC154500 protein [Xenopus laevis]
gi|114107888|gb|AAI23251|	 MGC154509 protein [Xenopus laevis]
gi|114107890|gb|AAI23260|	 Taf10b protein [Xenopus laevis]
gi|114107892|gb|AAI23264|	 LOC496377 protein [Xenopus laevis]
gi|114107894|gb|AAI23268|	 Vgll4 protein [Xenopus laevis]
gi|114107896|gb|AAI23270|	 Gpr23 protein [Xenopus laevis]
gi|114107898|gb|AAI23273|	 Foxd3-A protein [Xenopus laevis]
gi|114107900|gb|AAI23280|	 MGC154557 protein [Xenopus laevis]
gi|114107902|gb|AAI23281|	 Endogl1_predicted protein [Xenopus laevis]
gi|114107904|gb|AAI23141|	 MGC154328 protein [Xenopus laevis]
gi|114107906|gb|AAI23169|	 MGC154377 protein [Xenopus laevis]
gi|114107908|gb|AAI23171|	 Tmem66 protein [Xenopus laevis]
gi|114107910|gb|AAI23114|	 MGC81346 protein [Xenopus laevis]
gi|114107912|gb|AAI23223|	 MGC154464 protein [Xenopus laevis]
gi|114107914|gb|AAI23252|	 Clta protein [Xenopus laevis]
gi|114107916|gb|AAI23256|	 Otx1-A protein [Xenopus laevis]
gi|114107918|gb|AAI23259|	 MGC154523 protein [Xenopus laevis]
gi|114107920|gb|AAI23278|	 LOC397703 protein [Xenopus laevis]
gi|114107922|gb|AAI23357|	 Bves protein [Xenopus laevis]
gi|114107924|gb|AAI23364|	 Mrpl16 protein [Xenopus laevis]
gi|114107926|gb|AAI23291|	 Unknown (protein for IMAGE:8331231) [Xenopus laevis]
gi|114107928|gb|AAI23292|	 Ddx10 protein [Xenopus laevis]
gi|114107930|gb|AAI23293|	 LOC733268 protein [Xenopus laevis]
gi|114107932|gb|AAI23299|	 LOC495229 protein [Xenopus laevis]
gi|114107934|gb|AAI23303|	 Unknown (protein for IMAGE:7008304) [Xenopus laevis]
gi|114107936|gb|AAI23308|	 LOC443629 protein [Xenopus laevis]
gi|114107938|gb|AAI23309|	 LOC443665 protein [Xenopus laevis]
gi|114107940|gb|AAI23314|	 Unknown (protein for IMAGE:6318862) [Xenopus laevis]
gi|114107942|gb|AAI23315|	 MGC53213 protein [Xenopus laevis]
gi|114107945|gb|AAI23322|	 MGC154717 protein [Xenopus laevis]
gi|114107948|gb|AAI23328|	 MGC154750 protein [Xenopus laevis]
gi|114107950|gb|AAI23332|	 LOC779080 protein [Xenopus laevis]
gi|114107952|gb|AAI23336|	 LOC496402 protein [Xenopus laevis]
gi|114107954|gb|AAI23337|	 MGC154801 protein [Xenopus laevis]
gi|114107956|gb|AAI23339|	 Soat2 protein [Xenopus laevis]
gi|114107958|gb|AAI23340|	 MGC154809 protein [Xenopus laevis]
gi|114107960|gb|AAI23347|	 MGC154832 protein [Xenopus laevis]
gi|114107962|gb|AAI23353|	 Kntc2 protein [Xenopus laevis]
gi|114107964|gb|AAI23354|	 MGC154848 protein [Xenopus laevis]
gi|114107966|gb|AAI23361|	 LOC779082 protein [Xenopus laevis]
gi|114107969|gb|AAI23369|	 MGC154884 protein [Xenopus laevis]
gi|114107971|gb|AAI23372|	 MGC154898 protein [Xenopus laevis]
gi|114107973|gb|AAI23377|	 MGC154907 protein [Xenopus laevis]
gi|114107975|gb|AAI23321|	 Unknown (protein for IMAGE:5047267) [Xenopus laevis]
gi|114107977|gb|AAI23381|	 Nufip1 protein [Xenopus laevis]
gi|114107979|gb|AAI23344|	 Carkl protein [Xenopus laevis]
gi|114107981|gb|AAI23313|	 Unknown (protein for IMAGE:8329210) [Xenopus laevis]
gi|114107983|gb|AAI23370|	 Mrps9 protein [Xenopus laevis]
gi|114108043|gb|AAI23123|	 Sfrs1 protein [Xenopus laevis]
gi|114108045|gb|AAI23126|	 MGC154309 protein [Xenopus laevis]
gi|114108047|gb|AAI23129|	 MGC154314 protein [Xenopus laevis]
gi|114108049|gb|AAI23130|	 MGC154315 protein [Xenopus laevis]
gi|114108051|gb|AAI23137|	 MGC154324 protein [Xenopus laevis]
gi|114108053|gb|AAI23145|	 LOC733335 protein [Xenopus laevis]
gi|114108055|gb|AAI23151|	 MGC154345 protein [Xenopus laevis]
gi|114108057|gb|AAI23155|	 MGC154351 protein [Xenopus laevis]
gi|114108059|gb|AAI23158|	 XDR-M2 protein [Xenopus laevis]
gi|114108061|gb|AAI23164|	 MGC154362 protein [Xenopus laevis]
gi|114108063|gb|AAI23165|	 Tjp2 protein [Xenopus laevis]
gi|114108065|gb|AAI23168|	 Tmeff2 protein [Xenopus laevis]
gi|114108067|gb|AAI23183|	 MGC154407 protein [Xenopus laevis]
gi|114108069|gb|AAI23186|	 MGC154410 protein [Xenopus laevis]
gi|114108071|gb|AAI23187|	 LOC100125664 protein [Xenopus laevis]
gi|114108073|gb|AAI23191|	 KCNE3 protein [Xenopus laevis]
gi|114108075|gb|AAI23199|	 Tnip1 protein [Xenopus laevis]
gi|114108077|gb|AAI23201|	 MGC154434 protein [Xenopus laevis]
gi|114108079|gb|AAI23207|	 Comt protein [Xenopus laevis]
gi|114108081|gb|AAI23210|	 MGC154448 protein [Xenopus laevis]
gi|114108083|gb|AAI23214|	 MGC154454 protein [Xenopus laevis]
gi|114108085|gb|AAI23216|	 MGC154456 protein [Xenopus laevis]
gi|114108087|gb|AAI23219|	 MGC154460 protein [Xenopus laevis]
gi|114108089|gb|AAI23221|	 LOC779076 protein [Xenopus laevis]
gi|114108091|gb|AAI23231|	 Ptar1-a protein [Xenopus laevis]
gi|114108093|gb|AAI23235|	 Fbxl22 protein [Xenopus laevis]
gi|114108095|gb|AAI23238|	 Unknown (protein for MGC:154485) [Xenopus laevis]
gi|114108097|gb|AAI23240|	 Mppe1 protein [Xenopus laevis]
gi|114108099|gb|AAI23245|	 Hoxa2 protein [Xenopus laevis]
gi|114108101|gb|AAI23254|	 MGC154513 protein [Xenopus laevis]
gi|114108104|gb|AAI23262|	 Dusp12 protein [Xenopus laevis]
gi|114108106|gb|AAI23263|	 MGC154528 protein [Xenopus laevis]
gi|114108108|gb|AAI23266|	 LOC398205 protein [Xenopus laevis]
gi|114108110|gb|AAI23269|	 Dlx3 protein [Xenopus laevis]
gi|114108112|gb|AAI23290|	 LOC733440 protein [Xenopus laevis]
gi|114108114|gb|AAI23294|	 Ls27 protein [Xenopus laevis]
gi|114108118|gb|AAI23306|	 Unknown (protein for IMAGE:7008486) [Xenopus laevis]
gi|114108120|gb|AAI23310|	 LOC432089 protein [Xenopus laevis]
gi|114108122|gb|AAI23311|	 LOC398944 protein [Xenopus laevis]
gi|114108124|gb|AAI23317|	 MGC154687 protein [Xenopus laevis]
gi|114108127|gb|AAI23330|	 MGC154753 protein [Xenopus laevis]
gi|114108129|gb|AAI23333|	 LOC779081 protein [Xenopus laevis]
gi|114108131|gb|AAI23334|	 MGC154791 protein [Xenopus laevis]
gi|114108134|gb|AAI23356|	 Luc7l protein [Xenopus laevis]
gi|114108136|gb|AAI23363|	 MGC154878 protein [Xenopus laevis]
gi|114108138|gb|AAI23368|	 Anapc5 protein [Xenopus laevis]
gi|114108140|gb|AAI23376|	 MGC154905 protein [Xenopus laevis]
gi|114108167|gb|AAI23112|	 LOC431905 protein [Xenopus laevis]
gi|114108169|gb|AAI23133|	 Arsk protein [Xenopus laevis]
gi|114108171|gb|AAI23134|	 Lpd-8 protein [Xenopus laevis]
gi|114108173|gb|AAI23147|	 MGC154334 protein [Xenopus laevis]
gi|114108175|gb|AAI23166|	 MGC154368 protein [Xenopus laevis]
gi|114108177|gb|AAI23180|	 MGC154403 protein [Xenopus laevis]
gi|114108181|gb|AAI23228|	 MGC154469 protein [Xenopus laevis]
gi|114108183|gb|AAI23233|	 MGC154476 protein [Xenopus laevis]
gi|114108185|gb|AAI23236|	 MGC154481 protein [Xenopus laevis]
gi|114108187|gb|AAI23243|	 MGC154492 protein [Xenopus laevis]
gi|114108190|gb|AAI23279|	 Tmed5 protein [Xenopus laevis]
gi|114108192|gb|AAI23289|	 LOC733419 protein [Xenopus laevis]
gi|114108194|gb|AAI23296|	 LOC733180 protein [Xenopus laevis]
gi|114108198|gb|AAI23365|	 LOC100125665 protein [Xenopus laevis]
gi|114108200|gb|AAI23374|	 MGC154901 protein [Xenopus laevis]
gi|114108276|gb|AAI23127|	 MGC154311 protein [Xenopus laevis]
gi|114108278|gb|AAI23139|	 Thap5 protein [Xenopus laevis]
gi|114108280|gb|AAI23148|	 LOC734200 protein [Xenopus laevis]
gi|114108282|gb|AAI23149|	 MGC154338 protein [Xenopus laevis]
gi|114108284|gb|AAI23156|	 LOC398100 protein [Xenopus laevis]
gi|114108286|gb|AAI23177|	 Haghl protein [Xenopus laevis]
gi|114108288|gb|AAI23181|	 MGC154405 protein [Xenopus laevis]
gi|114108290|gb|AAI23184|	 MGC154408 protein [Xenopus laevis]
gi|114108292|gb|AAI23190|	 Wdr54 protein [Xenopus laevis]
gi|114108294|gb|AAI23198|	 MGC154429 protein [Xenopus laevis]
gi|114108296|gb|AAI23203|	 MGC154436 protein [Xenopus laevis]
gi|114108298|gb|AAI23212|	 MGC115147 protein [Xenopus laevis]
gi|114108301|gb|AAI23248|	 MGC154501 protein [Xenopus laevis]
gi|114108303|gb|AAI23253|	 MGC154511 protein [Xenopus laevis]
gi|114108305|gb|AAI23257|	 Rgsa-a protein [Xenopus laevis]
gi|114108307|gb|AAI23265|	 Giyd1 protein [Xenopus laevis]
gi|114108309|gb|AAI23267|	 MGC154533 protein [Xenopus laevis]
gi|114108311|gb|AAI23272|	 MGC154542 protein [Xenopus laevis]
gi|114108313|gb|AAI23276|	 LOC779078 protein [Xenopus laevis]
gi|114108317|gb|AAI23297|	 LOC733172 protein [Xenopus laevis]
gi|114108321|gb|AAI23316|	 MGC154673 protein [Xenopus laevis]
gi|114108323|gb|AAI23319|	 Cenpl protein [Xenopus laevis]
gi|114108325|gb|AAI23327|	 Nemp1a protein [Xenopus laevis]
gi|114108327|gb|AAI23329|	 LOC779079 protein [Xenopus laevis]
gi|114108329|gb|AAI23348|	 Hmg20b protein [Xenopus laevis]
gi|114108331|gb|AAI23352|	 MGC154843 protein [Xenopus laevis]
gi|114108333|gb|AAI23359|	 Cr1 protein [Xenopus laevis]
gi|114108335|gb|AAI23373|	 LOC779083 protein [Xenopus laevis]
gi|114108337|gb|AAI23375|	 March3 protein [Xenopus laevis]
gi|114108339|gb|AAI23380|	 Ctdspl2a protein [Xenopus laevis]
gi|114149264|sp|Q4V7Y4|	 RecName: Full=Deleted in azoospermia-like-B; Short=DAZ-like protein B; Short=xDazl-B
gi|114149301|sp|Q6LD29|	 RecName: Full=Forkhead box protein A1-A; Short=FoxA1a; AltName: Full=Fork head domain-related protein 7; Short=xFD-7; AltName: Full=Hepatocyte nuclear factor 3-alpha homolog A; Short=HNF3alpha homolog A; Short=xHNF3alpha-A
gi|114149302|sp|P84961|	 RecName: Full=Forkhead box protein A2-B; Short=FoxA2-B; Short=FoxA2b; AltName: Full=Fork head domain-related protein 3'; Short=xFD-3'; AltName: Full=Hepatocyte nuclear factor 3-beta homolog B; Short=HNF-3-beta-B; Short=HNF3-beta homolog B; Short=HNF3-beta-B; Short=xHNF3-beta-B
gi|114150020|sp|Q3KPL3|	 RecName: Full=LysM and putative peptidoglycan-binding domain-containing protein 2
gi|114150033|sp|Q2KHS5|	 RecName: Full=2-acylglycerol O-acyltransferase 2-A; AltName: Full=Acyl-CoA:monoacylglycerol acyltransferase 2-A; Short=MGAT2-A; AltName: Full=Monoacylglycerol O-acyltransferase 2-A
gi|114150034|sp|Q3KPP4|	 RecName: Full=2-acylglycerol O-acyltransferase 1; AltName: Full=Acyl-CoA:monoacylglycerol acyltransferase 1; Short=MGAT1; AltName: Full=Monoacylglycerol O-acyltransferase 1
gi|114152805|sp|P33205|	 RecName: Full=Forkhead box protein A4-A; Short=FoxA4-A; Short=FoxA4a; AltName: Full=Fork head domain-related protein 1; Short=xFD-1; AltName: Full=Protein pintallavis
gi|114209183|gb|CAL40934|	 unnamed protein product [Xenopus laevis]
gi|114209185|gb|CAL40935|	 unnamed protein product [Xenopus laevis]
gi|114209187|gb|CAL40936|	 unnamed protein product [Xenopus laevis]
gi|114306822|gb|BAF31292|	 DNA polymerase epsilon catalytic subunit [Xenopus laevis]
gi|114306824|gb|BAF31293|	 DNA polymerase epsilon p17 subunit [Xenopus laevis]
gi|114306826|gb|BAF31294|	 DNA polymerase epsilon p12 subunit [Xenopus laevis]
gi|1143703|gb|CAA90704|	 protein phosphatase 2A, catalytic subunit, beta isoform [Xenopus laevis]
gi|114401|sp|P21188|	 RecName: Full=Sodium/potassium-transporting ATPase subunit beta-3; AltName: Full=Sodium/potassium-dependent ATPase subunit beta-3; Short=ATPB-3
gi|114422293|gb|CAL44798|	 unnamed protein product [Xenopus laevis]
gi|114422295|gb|CAL44799|	 unnamed protein product [Xenopus laevis]
gi|114422297|gb|CAL44800|	 unnamed protein product [Xenopus laevis]
gi|114468|sp|P00849|	 RecName: Full=ATP synthase subunit a; AltName: Full=F-ATPase protein 6
gi|114494|sp|P03931|	 RecName: Full=ATP synthase protein 8; AltName: Full=A6L; AltName: Full=F-ATPase subunit 8
gi|114535|sp|P08428|	 RecName: Full=ATP synthase subunit alpha, mitochondrial; Flags: Precursor
gi|1145882|gb|AAC59735|	 fugacin [Xenopus laevis]
gi|1146114|gb|AAA85024|	 POU domain protein [Xenopus laevis]
gi|11463863|gb|BAB18575|	 patched-2 [Xenopus laevis]
gi|114724|sp|P27039|	 RecName: Full=Activin receptor type-2A; AltName: Full=Activin receptor type IIA; Short=ACTR-IIA; Flags: Precursor
gi|114729|sp|P27041|	 RecName: Full=Activin receptor type-2B; AltName: Full=Activin receptor type IIB; Short=ACTR-IIB; Flags: Precursor
gi|1147630|gb|AAB53152|	 WT1 [Xenopus laevis]
gi|1147746|gb|AAB53153|	 XIR [Xenopus laevis]
gi|1147747|gb|AAB53154|	 XIR [Xenopus laevis]
gi|1147826|gb|AAA85162|	 sonic hedgehog [Xenopus laevis]
gi|1147828|gb|AAA85163|	 cephalic hedgehog protein [Xenopus laevis]
gi|1147830|gb|AAA85164|	 hedgehog protein 4 [Xenopus laevis]
gi|1147832|gb|AAA85165|	 banded hedgehog protein [Xenopus laevis]
gi|114795|sp|P15308|	 RecName: Full=Protein B4; AltName: Full=Histone H1-like protein; AltName: Full=Linker histone B4
gi|11493738|gb|AAG35630|	 DNA polymerase alpha [Xenopus laevis]
gi|11493740|gb|AAG35631|	 DNA polymerase epsilon [Xenopus laevis]
gi|11494133|gb|AAG35771|	 lefty-related factor Xatv [Xenopus laevis]
gi|1150690|gb|CAA85763|	 hepatocyte nuclear factor 4 (HNF4) [Xenopus laevis]
gi|1150692|gb|CAA90517|	 insulin-like growth factor I receptor [Xenopus laevis]
gi|115070|sp|P25703|	 RecName: Full=Bone morphogenetic protein 2-A; AltName: Full=BMP-2-I; Flags: Precursor
gi|1150836|gb|AAA98466|	 neural specific DNA binding protein [Xenopus laevis]
gi|1150838|gb|AAA98467|	 neural specific DNA binding protein [Xenopus laevis]
gi|1150850|gb|AAA96259|	 heat shock protein 90 [Xenopus laevis]
gi|1151178|gb|AAA85240|	 MAP kinase phosphatase X17C [Xenopus laevis]
gi|115121|sp|P24781|	 RecName: Full=Brachyury protein; Short=xBRA; AltName: Full=Protein T
gi|11513397|gb|1F66_A|	 Chain A, 2.6 A Crystal Structure Of A Nucleosome Core Particle Containing The Variant Histone H2a.Z
gi|11513400|gb|1F66_D|	 Chain D, 2.6 A Crystal Structure Of A Nucleosome Core Particle Containing The Variant Histone H2a.Z
gi|11513401|gb|1F66_E|	 Chain E, 2.6 A Crystal Structure Of A Nucleosome Core Particle Containing The Variant Histone H2a.Z
gi|11513404|gb|1F66_H|	 Chain H, 2.6 A Crystal Structure Of A Nucleosome Core Particle Containing The Variant Histone H2a.Z
gi|115174281|gb|ABI84194|	 LIM domains-containing protein 1 [Xenopus laevis]
gi|11527140|gb|AAG36902|	 poly(A) binding protein II [Xenopus laevis]
gi|11527142|gb|AAG36903|	 calcium/calmodulin-dependent protein kinase II variable region gamma O isoform [Xenopus laevis]
gi|11527144|gb|AAG36904|	 calcium/calmodulin-dependent protein kinase II variable region of gamma P isoform [Xenopus laevis]
gi|11527146|gb|AAG36905|	 calcium/calmodulin-dependent protein kinase II variable region of gamma Q isoform [Xenopus laevis]
gi|11527148|gb|AAG36906|	 calcium/calmodulin-dependent protein kinase II variable region of gamma R isoform [Xenopus laevis]
gi|11527150|gb|AAG36907|	 calcium/calmodulin-dependent protein kinase II variable region of gamma S isoform [Xenopus laevis]
gi|11527152|gb|AAG36908|	 calcium/calmodulin-dependent protein kinase II variable region of gamma T isoform [Xenopus laevis]
gi|11527154|gb|AAG36909|	 calcium/calmodulin-dependent protein kinase II variable region of gamma U isoform [Xenopus laevis]
gi|11527156|gb|AAG36910|	 calcium/calmodulin-dependent protein kinase II variable region of gamma V isoform [Xenopus laevis]
gi|11527158|gb|AAG36911|	 calcium/calmodulin-dependent protein kinase II variable region of gamma W isoform [Xenopus laevis]
gi|11527160|gb|AAG36912|	 calcium/calmodulin-dependent protein kinase II variable region of gamma X isoform [Xenopus laevis]
gi|11527162|gb|AAG36913|	 calcium/calmodulin-dependent protein kinase II variable region of gamma Y isoform [Xenopus laevis]
gi|11527164|gb|AAG36914|	 calcium/calmodulin-dependent protein kinase II variable region of gamma Z isoform [Xenopus laevis]
gi|11527166|gb|AAG36915|	 calcium/calmodulin-dependent protein kinase II variable region of gamma AA isoform [Xenopus laevis]
gi|11527168|gb|AAG36916|	 calcium/calmodulin-dependent protein kinase II variable region of gamma AB isoform [Xenopus laevis]
gi|11527170|gb|AAG36917|	 calcium/calmodulin-dependent protein kinase II variable region of gamma A isoform [Xenopus laevis]
